name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
Renov Aug22 Cedofeita Exclusive with self check in,24111791,Luis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15268,-8.61751,Entire home/apt,45,1,111,2022-09-10,2.19,8,345,6,83897/AL
376 by Porto d'Época,28770658,Anaïs,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14959,-8.60225,Entire home/apt,150,2,15,2019-07-14,0.3,1,0,0,83281/AL
Oporto Heroismo Place 1,45934980,Maria José E Francisco,PORTO,Bonfim,41.14695,-8.58938,Entire home/apt,48,3,2,2022-10-31,0.04,2,179,1,45491/AL
Beautiful 1 Bedroom Duplex apartment,217933002,Afonso,PORTO,Paranhos,41.16266,-8.60324,Entire home/apt,52,3,30,2021-10-03,0.66,1,0,0,82336/AL
"Stylish House - air cond, free parking, breakfast",680010,Liana,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13364,-8.61016,Entire home/apt,93,2,86,2022-10-21,1.78,12,322,26,84243/AL
APOSENTUS - Your fabulous home next to Ribeira,179432438,Aposentus,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14118,-8.61505,Entire home/apt,86,2,221,2022-11-27,4.57,44,343,66,86438/AL
Bombarda 451 Suites: Studio 2 pax PARKING!,198631167,Sleepover,PORTO,Lordelo do Ouro e Massarelos,41.14978,-8.62325,Entire home/apt,51,2,38,2022-04-10,0.78,11,355,2,72468/AL
VISTAS PANORAMICAS DO PORTO E RIO DOURO,8288288,Paulo,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13643,-8.61456,Entire home/apt,73,2,41,2022-10-31,0.92,2,339,10,55522/AL
Swimming pool Country House.,222490240,Manuel,PAREDES,Aguiar de Sousa,41.12748,-8.44648,Entire home/apt,164,4,36,2022-10-10,0.83,1,347,9,83650/AL
PortoSoul Trindade AP06,25997344,Hildebrando,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15211,-8.60938,Entire home/apt,77,2,7,2019-01-27,0.14,34,332,0,87519/AL
Apartment Terrace Beach Oporto,217939839,Rui,MATOSINHOS,Matosinhos e Leça da Palmeira,41.1818,-8.68921,Entire home/apt,65,4,23,2022-08-26,0.52,1,0,6,76879AL
PortoSoul Trindade AP07,25997344,Hildebrando,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15279,-8.60799,Private room,69,2,6,2022-09-13,0.12,34,346,2,87519/AL
Porto Sunny House #3 - city center,53350496,Xana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15234,-8.61345,Entire home/apt,55,1,15,2022-11-22,0.3,3,285,12,84067/AL
Lovely Apartment - In Porto,49366936,Carlos & Clarinda,PORTO,Bonfim,41.14525,-8.59463,Entire home/apt,27,3,140,2022-10-26,2.86,5,0,28,86452/AL
Cheap Chic - Porto Downtown,221566561,Maria De Lurdes,PORTO,Bonfim,41.15934,-8.6034,Entire home/apt,62,3,157,2022-11-28,3.12,1,242,45,78255/AL
Aguda Golf Vita Awesome Seaside T2 Apartment,199935799,Miguel,VILA NOVA DE GAIA,Arcozelo,41.05369,-8.6532,Entire home/apt,51,3,39,2022-12-05,0.81,2,180,12,83207/AL
"BREYNER 384 - White Room, Porto",60969512,Maria João,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15054,-8.62199,Private room,60,2,2,2019-05-05,0.04,4,0,0,75095/AL
"""S. Lázaro flat""",218232134,Joana,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14686,-8.60235,Entire home/apt,77,3,10,2022-07-15,0.2,2,357,1,78103/AL
Spacious room near the city center,221577836,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16013,-8.61167,Private room,30,2,16,2019-09-13,0.36,2,0,0,47132/AL
Alegria 120/2F - Duplex com Varanda - Parking,194915090,Ricardo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14856,-8.60395,Entire home/apt,105,3,78,2022-11-02,1.59,6,103,44,84684/AL
I LOFT Porto Ribeira,158187683,Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14833,-8.61406,Entire home/apt,50,2,13,2022-01-28,0.38,15,291,1,60203/AL
Stylish Cosy Studio in Historical Center of Porto,2644164,My Ribeira,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14088,-8.61264,Hotel room,103,1,7,2022-11-06,0.48,3,362,6,15414/AL
Stylish Cosy Studio with balcony in Historical Center of Porto,2644164,My Ribeira,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14108,-8.61287,Hotel room,123,1,9,2022-08-16,0.21,3,352,4,15414/AL
Stylish and Cosy Two Bedroom Apartment in Historical Center of Porto,2644164,My Ribeira,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14215,-8.61344,Hotel room,167,1,0,,,3,344,0,15414/AL
Liiiving In Porto | Aliados Luxury Aparment,30907275,Liiiving,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1482372,-8.6114509,Entire home/apt,98,2,18,2022-10-11,0.35,113,284,8,82015/AL
"Cozy Beach House, b2 azul",222716679,Adélia,VILA NOVA DE GAIA,São Félix da Marinha,41.02882,-8.63952,Private room,30,2,6,2019-09-25,0.12,3,0,0,85365/AL
Canal 1 Apartment,115385100,Paulo,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14931,-8.60646,Entire home/apt,250,1,10,2021-01-01,0.22,2,0,0,76309/AL
Premium Suites & Apartments Porto Centre - Grand,213493497,Esher,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1509,-8.61414,Entire home/apt,90,2,43,2022-11-27,0.89,14,124,33,48666/AL
3 Bedrooms ☀️ Epic View & Sunset ☀️ Historic Center!,205776921,Ana & Daniel,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14219,-8.61747,Entire home/apt,25,1,349,2022-12-06,6.98,10,41,100,79798/AL
106 by Porto D'Época,218415016,Adelino,PORTO,Bonfim,41.15089,-8.60142,Entire home/apt,80,2,0,,,1,0,0,77789/AL
Private Room Double Bed OPorto in Shared Apartment,116232809,Fernando,VILA NOVA DE GAIA,Mafamude e Vilar do Paraíso,41.12256,-8.61426,Private room,17,1,40,2020-10-31,0.8,1,0,0,3072021-1
